TS,LAI,tair,VPD,ppt,sw,GPP
167,4.7,23.68083333,0.44234053,1.4,166.0829167,9.2449566
168,4.7,21.93333333,0.275793859,0,84.50125,7.5536546
169,4.7,22.25354167,0.202049884,0,94.40210526,8.5567528
170,4.7,24.34458333,0.340276852,0,135.2720833,9.8885526
171,4.7,24.81854167,0.244147818,0.4,102.3072917,8.824603
172,4.7,23.73708333,0.166452265,21.09,103.1458333,8.3886633
173,4.7,23.701875,0.19120381,4.2,99.51125,8.491331
174,4.7,22.285625,0.041554659,14.02,22.82020833,2.1738477
175,4.7,20.27375,0.082236314,5.8,45.88875,4.5164799
176,4.7,19.285,0.208866655,0.2,91.51041667,8.3079083
177,4.7,21.20541667,0.20442773,1.2,77.76479167,7.2679531
178,4.7,20.934375,0.167020896,0.2,67.81,6.5127014
179,4.7,22.704375,0.331987355,0,172.1016667,9.6657564
180,4.7,23.04729167,0.318692101,0,152.45,10.0831107
181,4.7,23.74208333,0.375658347,0,150.9870833,8.871438
182,4.7,24.08291667,0.394202314,0,146.2710417,10.0582604
183,4.7,24.76979167,0.428465083,0,159.9860417,9.4574829
184,4.7,23.01604167,0.106599806,33.34,64.19916667,5.7684416
185,4.7,23.73291667,0.156702066,0.2,80.28041667,7.3648424
186,4.7,24.24729167,0.287719956,3.81,132.9545833,9.5882219
187,4.7,22.63875,0.058689278,83.95,43.67291667,3.9224017
188,4.7,23.72645833,0.186491024,0.4,81.04916667,7.30334
189,4.7,24.05333333,0.285475306,0,128.270625,9.960691
190,4.7,23.43666667,0.185175013,14.65,100.8054167,8.0111403
191,4.7,24.57166667,0.30141556,0.4,145.335,10.8006661
192,4.7,22.86604167,0.302743188,1.4,111.7547917,8.8443424
193,4.7,18.075625,0.206499704,0,79.695625,7.2375229
194,4.7,22.08270833,0.41886444,0,180.2427083,10.4660327
195,4.7,20.02166667,0.083404585,6.82,49.63729167,4.9045077
196,4.7,20.940625,0.305714707,0,121.3385417,9.9584095
197,4.7,22.675625,0.319663698,0,154.3772917,9.7764279
198,4.7,24.53291667,0.517590596,0,192.4197917,9.3896926
199,4.7,24.00979167,0.488905554,0,178.1941667,10.1953113
200,4.7,23.85645833,0.492517315,0,174.2004167,9.9549548
201,4.7,23.83208333,0.450640725,0,169.1254167,9.4583308
